x	y
625754	1011569
625754	1011669
625754	1011769
625754	1011869
625754	1011969
625854	1011569
625854	1011669
625854	1011769
625854	1011869
625854	1011969
625954	1011569
625954	1011669
625954	1011769
625954	1011869
625954	1011969
626054	1011569
626054	1011669
626054	1011769
626054	1011869
626054	1011969
626154	1011569
626154	1011669
626154	1011769
626154	1011869
626154	1011969
626254	1011569
626254	1011669
626254	1011769
626254	1011869
626254	1011969
626354	1011569
626354	1011669
626354	1011769
626354	1011869
626354	1011969
626454	1011569
626454	1011669
626454	1011769
626454	1011869
626454	1011969
626554	1011569
626554	1011669
626554	1011769
626554	1011869
626554	1011969
626654	1011569
626654	1011669
626654	1011769
626654	1011869
626654	1011969
