Paticipante_1	Participante_2	Interacción	Intensidad	Proceso
Sicómoro	Avispa_de_los_higos	Mutualismo	Alta	Polinización
Sicómoro	Chimpancé	comensalismo	Alta	Alimentación
Sicómoro	Mantis_rosada	comensalismo	Alta	Alimentación
Sicómoro	Serpiente	facilitación	Baja	Territorio
Sicómoro	Ave_amarilla	comensalismo	Baja	Alimentación
Sicómoro	Toco_piquinegro	facilitación	Baja	Nido
Sicómoro	Jirafa	comensalismo	Baja	Alimentación
Sicómoro	Escarabajo_de_cuernos_largos_de_la_higuera	comensalismo	Alta	Alimentación
Sicómoro	Saltamontes_de_la_higuera	comensalismo	Alta	Alimentación
Saltamontes_de_la_higuera	Mantis_rosada	compentecia	Alta	Alimentación
Mantis_rosada	Moscas_de_la_fruta	depredacion	Baja	Alimentación
Sicómoro	Moscas_de_la_fruta	comensalismo	Alta	Alimentación
Nemátodo	Avispa_de_los_higos	parasitismo	Alta	Reproducción
Avispa_de_los_higos	Avispa_parasítica	parasitismo	Alta	Reproducción
Avispa_con_banda	Avispa_parasítica	parasitismo	Alta	Reproducción
Hormiga	Avispa	depredacion	Alta	Alimentación
Hormiga	Hilda_patruelis	Mutualismo	Baja	Alimentación-Cuidado
Abejas	Avispa_de_los_higos	facilitación	Alta	Construcción_nido
Ave	Cigarra_de_la_higuera	depredacion	Baja	Alimentación
Cigarra_de_la_higuera	Hormiga	comensalismo	Baja	Alimentación
Mono	Cigarra_de_la_higuera	depredacion	Baja	Alimentación
Cigarra_de_la_higuera	Sicómoro	amensalismo	Baja	Expulsión_de_líquido
Toco_piquinegro	Abeja	competencia	Baja	Nido
Hormigas	Avispa_de_los_higos	depredacion	Baja	Alimentación
Gecko_diurno	Avispa_de_los_higos	depredacion	Baja	Alimentación
Serpiente	Gecko_diurno	depredacion	Baja	Alimentación
Araña	Avispa_de_los_higos	depredacion	Baja	Alimentación
Paloma_verde_	Sicómoro	Mutualismo	Baja	dispersión
Elefante	Sicómoro	Mutualismo	Baja	dispersión
Escarabajos_tigre	Avispa	depredacion	Baja	Alimentación
Venado	Sicómoro	comensalismo	Baja	Alimentación
Mariposa	Sicómoro	comensalismo	Alta	Alimentación
Cocodrilo	Pez	depredacion	Alta	Alimentación
Sicómoro	Pez	comensalismo	Baja	Alimentación
Sicómoro	Humanos	facilitación	Alta	madera
Abejas	Humanos	competencia	Alta	miel
Insectos_de_la_higuera	Sicómoro	Mutualismo	Baja	dispersión
Murciélagos_de_la_fruta	Sicómoro	Mutualismo	Alta	dispersión
